time,open,high,low,close,Volume,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2016-09-29,604.96,606.89,603.56,605.99,4071,52.61643220576966,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-30,605.99,608.99,605,608.99,4589,55.36883980264372,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-01,608.99,617.19,608.98,615.65,3440,60.81117063000746,NaN,NaN,NaN,NaN,60.81117063000746,NaN
2016-10-02,615.65,615.9,608.66,612.4,2859,57.148915706415636,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-03,612.42,615.24,610.7,612.99,4397,57.647566949949095,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-04,612.99,613.23,606.93,610.34,5023,54.57562935460609,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-05,610.33,614.24,609.22,613.16,4405,57.189985213532914,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-06,613.16,613.39,610.3,611.88,3885,55.625066193975954,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-07,611.78,618.7,609.89,617.98,5083,61.089478766177905,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-08,618.11,620,617.55,619.5,2742,62.33414256494408,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-09,619.46,619.59,617,617.42,2270,59.527993828262815,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-10,617.43,619.2,615.46,618.72,3851,60.71824942181848,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-11,618.72,647.03,618.13,642.12,6278,74.9811955023085,NaN,NaN,NaN,NaN,74.9811955023085,NaN
2016-10-12,642.3,643.58,631.91,635.79,4296,67.80860924538776,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-13,635.9,639.85,632,635.66,3795,67.66545153984806,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-14,635.8,639.99,624.08,638.03,4323,68.9523614432407,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-15,638.03,639.99,636,638.16,647,69.02518464315528,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-16,638.16,643.91,637.87,641.92,2487,71.13408331900794,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-17,642.1,643.47,636.27,639.56,3891,68.00445203159066,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-18,639.56,640,632.15,635.11,4068,62.427179807101155,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-19,635.12,636.99,625.6,629.79,4400,56.46506127774608,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-20,629.79,629.99,626.01,628.05,4123,54.627423514754476,NaN,NaN,54.627423514754476,NaN,NaN,NaN
2016-10-21,628.19,633.41,627.5,630.83,4128,57.03339970866961,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-22,630.67,658,629.32,652.75,4542,70.37349100164016,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-23,653.03,655.8,645.33,651.04,3017,68.58455670663774,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-24,651.05,652.93,645.81,649.98,3623,67.44010370633472,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-25,649.98,657.5,648.99,654.3,4777,69.66198738423262,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-26,654.3,678,652.51,674,5801,77.27700669378767,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-27,674,692.41,673.54,691.21,6754,81.6178937066806,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-28,691.01,691.19,683.2,689.95,4354,80.40679359682217,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-29,689.95,725.64,689.39,714.28,6553,85.02698662467067,NaN,NaN,NaN,NaN,85.02698662467067,NaN
2016-10-30,714.28,714.98,692.04,697.41,3727,72.29688552789166,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-31,697.39,709.68,681.01,696.9,4428,71.94619609581807,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-01,697.07,737.5,695.74,730.7,6877,79.16083514203063,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-02,730.7,744.6,720,744.6,5050,81.29162975636501,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-03,744.61,746.16,672.06,690,10315,56.74659650383003,NaN,NaN,56.74659650383003,NaN,NaN,NaN
2016-11-04,690,708.33,683.8,706.32,5201,60.578086452484165,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-05,706.05,707.99,697.72,706.99,2945,60.73187602476069,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-06,706.98,719.83,705.86,717.02,2946,63.05541918928253,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-07,717.04,717.32,701.35,706.42,4149,59.07693048686749,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-08,706.41,716.45,704.16,711.15,4311,60.28122179376268,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-09,711.3,747.26,710.05,720.97,11996,62.733220540064515,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-10,721,723.61,705.84,712.91,4388,59.48716552239643,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-11,713,718.99,712.5,716.9,3308,60.57473119982746,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-12,716.56,716.99,702.42,704.53,3074,55.59211381798164,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-13,704.63,705.94,685.7,704.01,4140,55.38586885846261,NaN,NaN,55.38586885846261,NaN,NaN,NaN
2016-11-14,704.01,708.57,695.07,708.32,4782,56.81592276758446,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-15,708.4,716.3,673.85,712.29,4631,58.1467066351676,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-16,711.92,743.8,710,739.85,6151,65.98362472331604,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-17,738.07,750.01,729.01,730.71,4143,61.84753696733364,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-18,729.61,751,728.89,748.54,4607,66.28709360576813,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-19,748.55,752.3,738,750.77,2905,66.80732608591416,NaN,NaN,NaN,NaN,66.80732608591416,NaN
2016-11-20,750.77,753.81,715,731.99,4257,58.605425509427675,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-21,731.72,738.47,730,736.4,2934,59.85189915881561,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-22,736.39,748.77,726.38,746.66,4219,62.66839911005599,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-23,746.66,747.12,734,741.52,3562,60.38301107569717,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-24,741.51,743.99,727,737.99,3408,58.79715442939065,NaN,NaN,NaN,NaN,NaN,NaN
